fpr,tpr,threshold
0.0,0.0,inf
0.0,0.001072961373390558,0.99999976
0.0,0.059012875536480686,0.99925834
0.0002354603249352484,0.059012875536480686,0.99923515
0.0002354603249352484,0.09012875536480687,0.9979692
0.0004709206498704968,0.09012875536480687,0.9979572
0.0004709206498704968,0.09549356223175966,0.9976985
0.0009418412997409936,0.09549356223175966,0.9976648
0.0009418412997409936,0.10085836909871244,0.9971615
0.0016482222745467388,0.10085836909871244,0.9970277
0.0016482222745467388,0.11695278969957082,0.99640214
0.0021191429244172355,0.11695278969957082,0.9962214
0.0021191429244172355,0.12124463519313304,0.9957723
0.0025900635742877325,0.12124463519313304,0.995612
0.0025900635742877325,0.13090128755364808,0.9942918
0.0028255238992229807,0.13090128755364808,0.9941917
0.0028255238992229807,0.13412017167381973,0.9936667
0.0030609842241582294,0.13412017167381973,0.9935736
0.0030609842241582294,0.1351931330472103,0.99337405
0.0032964445490934777,0.1351931330472103,0.99324256
0.0032964445490934777,0.1405579399141631,0.99269074
0.0037673651989639746,0.1405579399141631,0.99259984
0.0037673651989639746,0.15879828326180256,0.9904109
0.004002825523899223,0.15879828326180256,0.9903768
0.004002825523899223,0.16952789699570817,0.98924285
0.004238285848834471,0.16952789699570817,0.98891324
0.004238285848834471,0.17167381974248927,0.98877513
0.00447374617376972,0.17167381974248927,0.98860824
0.00447374617376972,0.1759656652360515,0.98719925
0.005180127148575465,0.1759656652360515,0.9863055
0.005180127148575465,0.17703862660944206,0.98618907
0.0056510477984459614,0.17703862660944206,0.98584753
0.0056510477984459614,0.1781115879828326,0.98566645
0.006121968448316459,0.1781115879828326,0.9855865
0.006121968448316459,0.1791845493562232,0.98555076
0.0063574287732517075,0.1791845493562232,0.9854313
0.0063574287732517075,0.1834763948497854,0.98409075
0.006592889098186955,0.1834763948497854,0.9839123
0.006592889098186955,0.19206008583690987,0.9817693
0.006828349423122204,0.19206008583690987,0.9814812
0.006828349423122204,0.19527896995708155,0.9806951
0.007063809748057453,0.19527896995708155,0.98042494
0.007063809748057453,0.20278969957081544,0.97851366
0.0072992700729927005,0.20278969957081544,0.97787493
0.0072992700729927005,0.2092274678111588,0.9755348
0.007770190722863198,0.2092274678111588,0.97511137
0.007770190722863198,0.21888412017167383,0.9713109
0.008005651047798447,0.21888412017167383,0.9705732
0.008005651047798447,0.21995708154506438,0.9701322
0.008241111372733695,0.21995708154506438,0.9696642
0.008241111372733695,0.22317596566523606,0.9684912
0.00871203202260419,0.22317596566523606,0.96654963
0.00871203202260419,0.22532188841201717,0.9663426
0.009182952672474688,0.22532188841201717,0.9636506
0.009182952672474688,0.22639484978540772,0.9630462
0.009418412997409937,0.22639484978540772,0.9621752
0.009418412997409937,0.2349785407725322,0.9586343
0.009889333647280433,0.2349785407725322,0.9583871
0.009889333647280433,0.24248927038626608,0.9558277
0.010831174947021427,0.24248927038626608,0.9517855
0.010831174947021427,0.2553648068669528,0.94512635
0.011537555921827172,0.2553648068669528,0.9445867
0.011537555921827172,0.2575107296137339,0.9423382
0.01177301624676242,0.2575107296137339,0.9414776
0.01177301624676242,0.25858369098712447,0.941083
0.012008476571697669,0.25858369098712447,0.9403409
0.012008476571697669,0.2757510729613734,0.9339545
0.012479397221568166,0.2757510729613734,0.9332771
0.012479397221568166,0.2778969957081545,0.93216556
0.012714857546503415,0.2778969957081545,0.9318805
0.012714857546503415,0.2800429184549356,0.9308384
0.012950317871438662,0.2800429184549356,0.9303016
0.012950317871438662,0.2821888412017167,0.92902416
0.01318577819637391,0.2821888412017167,0.9288062
0.01318577819637391,0.2832618025751073,0.9280329
0.01342123852130916,0.2832618025751073,0.9280188
0.01342123852130916,0.2854077253218884,0.92737937
0.013656698846244408,0.2854077253218884,0.9241702
0.013656698846244408,0.2929184549356223,0.9209563
0.013892159171179657,0.2929184549356223,0.920713
0.013892159171179657,0.29721030042918456,0.91720146
0.014127619496114905,0.29721030042918456,0.91506433
0.014127619496114905,0.2982832618025751,0.9149535
0.014363079821050152,0.2982832618025751,0.9144746
0.014363079821050152,0.30042918454935624,0.9130142
0.01483400047092065,0.30042918454935624,0.9107131
0.01483400047092065,0.30150214592274677,0.9101973
0.015069460795855898,0.30150214592274677,0.90925014
0.015069460795855898,0.30257510729613735,0.9081011
0.015304921120791147,0.30257510729613735,0.9065352
0.015304921120791147,0.30579399141630903,0.905018
0.015540381445726396,0.30579399141630903,0.9046197
0.015540381445726396,0.31008583690987124,0.90232027
0.016246762420532142,0.31008583690987124,0.8995653
0.016246762420532142,0.3111587982832618,0.8991734
0.01648222274546739,0.3111587982832618,0.89902943
0.01648222274546739,0.3143776824034335,0.89667165
0.017188603720273133,0.3143776824034335,0.894891
0.017188603720273133,0.315450643776824,0.8929229
0.018130445020014128,0.315450643776824,0.88509715
0.018130445020014128,0.3165236051502146,0.8849589
0.018365905344949376,0.3165236051502146,0.8835171
0.018365905344949376,0.3186695278969957,0.8823411
0.019072286319755122,0.3186695278969957,0.88123786
0.019072286319755122,0.3208154506437768,0.880953
0.020014127619496114,0.3208154506437768,0.8758208
0.020014127619496114,0.3272532188841202,0.8698322
0.020249587944431362,0.3272532188841202,0.86633533
0.020249587944431362,0.33261802575107297,0.8629803
0.02072050859430186,0.33261802575107297,0.86204135
0.02072050859430186,0.33369098712446355,0.86129016
0.02095596891923711,0.33369098712446355,0.8599623
0.02095596891923711,0.33476394849785407,0.8584173
0.022133270543913352,0.33476394849785407,0.85170346
0.022133270543913352,0.3369098712446352,0.8489761
0.0223687308688486,0.3369098712446352,0.8486993
0.0223687308688486,0.33798283261802575,0.84582186
0.022604191193783846,0.33798283261802575,0.84501225
0.022604191193783846,0.34012875536480686,0.8415811
0.022839651518719094,0.34012875536480686,0.84006333
0.022839651518719094,0.34120171673819744,0.8398788
0.02354603249352484,0.34120171673819744,0.8378418
0.02354603249352484,0.3444206008583691,0.83362234
0.024016953143395338,0.3444206008583691,0.830437
0.024016953143395338,0.34549356223175964,0.829669
0.024252413468330587,0.34549356223175964,0.82473177
0.024252413468330587,0.34763948497854075,0.8230132
0.02519425476807158,0.34763948497854075,0.82080305
0.02519425476807158,0.3487124463519313,0.82054347
0.025900635742877324,0.3487124463519313,0.82005185
0.025900635742877324,0.35085836909871243,0.81649125
0.026136096067812573,0.35085836909871243,0.81484425
0.026136096067812573,0.351931330472103,0.80936337
0.02660701671768307,0.351931330472103,0.807373
0.02660701671768307,0.3583690987124464,0.7902602
0.027077937367553567,0.3583690987124464,0.7896833
0.027077937367553567,0.3594420600858369,0.78649396
0.027313397692488816,0.3594420600858369,0.7863042
0.027313397692488816,0.3605150214592275,0.78622013
0.027548858017424065,0.3605150214592275,0.7844149
0.027548858017424065,0.36373390557939916,0.78339833
0.02825523899222981,0.36373390557939916,0.77733
0.02825523899222981,0.36587982832618027,0.7761545
0.02849069931716506,0.36587982832618027,0.77534574
0.02849069931716506,0.36802575107296137,0.7750364
0.028961619967035553,0.36802575107296137,0.77034444
0.028961619967035553,0.3701716738197425,0.76950616
0.02943254061690605,0.3701716738197425,0.76653504
0.02943254061690605,0.3723175965665236,0.7628754
0.0296680009418413,0.3723175965665236,0.761236
0.0296680009418413,0.37553648068669526,0.7552474
0.029903461266776548,0.37553648068669526,0.75254434
0.029903461266776548,0.37660944206008584,0.75031114
0.030374381916647045,0.37660944206008584,0.7455407
0.030374381916647045,0.37875536480686695,0.7437319
0.03131622321638804,0.37875536480686695,0.73968995
0.03131622321638804,0.38090128755364805,0.7362887
0.03155168354132329,0.38090128755364805,0.73435104
0.03155168354132329,0.38197424892703863,0.73410827
0.032022604191193786,0.38197424892703863,0.73128235
0.032022604191193786,0.3851931330472103,0.7269819
0.03225806451612903,0.3851931330472103,0.72563404
0.03225806451612903,0.38626609442060084,0.72489583
0.032493524841064284,0.38626609442060084,0.7229195
0.032493524841064284,0.3873390557939914,0.722468
0.03272898516599953,0.3873390557939914,0.72048336
0.03272898516599953,0.3916309012875536,0.71062523
0.03367082646574052,0.3916309012875536,0.7094325
0.03367082646574052,0.3937768240343348,0.70684373
0.03390628679067577,0.3937768240343348,0.69969743
0.03390628679067577,0.3969957081545064,0.698009
0.03531904874028726,0.3969957081545064,0.6907729
0.03531904874028726,0.4012875536480687,0.68717736
0.03555450906522251,0.4012875536480687,0.68392533
0.03602542971509301,0.4012875536480687,0.6836461
0.0364963503649635,0.4012875536480687,0.68131864
0.0364963503649635,0.40236051502145925,0.68000734
0.03673181068989875,0.40236051502145925,0.67755467
0.03673181068989875,0.4055793991416309,0.6729522
0.036967271014834,0.4055793991416309,0.6711911
0.036967271014834,0.40665236051502146,0.6680643
0.03767365198963975,0.40665236051502146,0.6646463
0.03767365198963975,0.40879828326180256,0.6574639
0.03790911231457499,0.40879828326180256,0.65715575
0.03790911231457499,0.40987124463519314,0.6565148
0.038144572639510245,0.40987124463519314,0.655492
0.038144572639510245,0.41201716738197425,0.6527719
0.03838003296444549,0.41201716738197425,0.6527126
0.03838003296444549,0.41416309012875535,0.6488457
0.03861549328938074,0.41416309012875535,0.64587593
0.03861549328938074,0.41523605150214593,0.64534885
0.03908641393925123,0.41523605150214593,0.64155936
0.03908641393925123,0.41630901287553645,0.6388696
0.04002825523899223,0.41630901287553645,0.632404
0.04002825523899223,0.41738197424892703,0.63117754
0.040499175888862725,0.41738197424892703,0.62775815
0.040499175888862725,0.41952789699570814,0.6244347
0.04073463621379798,0.41952789699570814,0.62158567
0.04073463621379798,0.4227467811158798,0.6175417
0.04097009653873322,0.4227467811158798,0.6164058
0.04097009653873322,0.4238197424892704,0.61437476
0.041205556863668474,0.4238197424892704,0.6135004
0.041205556863668474,0.4248927038626609,0.6134366
0.04144101718860372,0.4248927038626609,0.6090468
0.04144101718860372,0.4281115879828326,0.6048759
0.04167647751353897,0.4281115879828326,0.60461247
0.04167647751353897,0.4291845493562232,0.60436547
0.04285377913821521,0.4291845493562232,0.59728837
0.04285377913821521,0.43240343347639487,0.5912102
0.04332469978808571,0.43240343347639487,0.58371836
0.04332469978808571,0.4388412017167382,0.5723752
0.043560160113020954,0.4388412017167382,0.5721349
0.043560160113020954,0.43991416309012876,0.56858635
0.043795620437956206,0.43991416309012876,0.5677667
0.043795620437956206,0.4409871244635193,0.5654879
0.0447374617376972,0.4409871244635193,0.562692
0.0447374617376972,0.44206008583690987,0.56247044
0.044972922062632446,0.44206008583690987,0.5587296
0.044972922062632446,0.44313304721030045,0.5580975
0.04520838238756769,0.44313304721030045,0.55791783
0.04520838238756769,0.44420600858369097,0.5569494
0.045443842712502944,0.44420600858369097,0.5569223
0.045443842712502944,0.44635193133047213,0.55600387
0.04567930303743819,0.44635193133047213,0.55470246
0.04567930303743819,0.44849785407725323,0.5532504
0.04591476336237344,0.44849785407725323,0.5514496
0.04591476336237344,0.45064377682403434,0.5483605
0.04638568401224394,0.45064377682403434,0.54729295
0.04638568401224394,0.4517167381974249,0.547252
0.046621144337179184,0.4517167381974249,0.54640955
0.046621144337179184,0.45493562231759654,0.5383142
0.04756298563692018,0.45493562231759654,0.53280735
0.04756298563692018,0.4560085836909871,0.53157467
0.048033906286790676,0.4560085836909871,0.5301982
0.048033906286790676,0.4570815450643777,0.5293898
0.04897574758653167,0.4570815450643777,0.5233509
0.04897574758653167,0.46030042918454933,0.5192777
0.04968212856133741,0.46030042918454933,0.5184036
0.04968212856133741,0.4667381974248927,0.5099493
0.05085943018601366,0.4667381974248927,0.50543165
0.05085943018601366,0.4678111587982833,0.50406575
