,MEL,NV,BCC,AK,BKL,DF,VASC,SCC
MEL,0.47746781115879827,0.3497854077253219,0.0611587982832618,0.032188841201716736,0.07188841201716738,0.003218884120171674,0.002145922746781116,0.002145922746781116
NV,0.04380664652567976,0.9131419939577039,0.014350453172205438,0.0015105740181268882,0.0222809667673716,0.0022658610271903325,0.0022658610271903325,0.00037764350453172205
BCC,0.05343511450381679,0.07480916030534351,0.7755725190839695,0.03358778625954199,0.025954198473282442,0.0061068702290076335,0.0061068702290076335,0.024427480916030534
AK,0.07567567567567568,0.0972972972972973,0.4,0.24324324324324326,0.11891891891891893,0.016216216216216217,0.0,0.04864864864864865
BKL,0.08860759493670886,0.20976491862567812,0.0867992766726944,0.07956600361663653,0.5280289330922242,0.003616636528028933,0.0,0.003616636528028933
DF,0.08333333333333333,0.2777777777777778,0.2222222222222222,0.0,0.05555555555555555,0.25,0.05555555555555555,0.05555555555555555
VASC,0.05714285714285714,0.02857142857142857,0.11428571428571428,0.0,0.0,0.0,0.8,0.0
SCC,0.2,0.15555555555555556,0.18518518518518517,0.16296296296296298,0.11851851851851852,0.02962962962962963,0.0,0.14814814814814814
