scenario,accuracy,macro_f1,melanoma_recall
baseline,0.7269743193666731,0.5201845858010157,0.47746781115879827
gaussian_blur,0.6609384050975091,0.41103534326255803,0.4055793991416309
color_jitter,0.6787024522108516,0.43058119448807,0.47854077253218885
rotation_30,0.6595867928171462,0.4592595106259955,0.5997854077253219
horizontal_flip,0.7290982815215292,0.5261072533286283,0.48390557939914164
gaussian_noise,0.6651863294072214,0.4141088863847186,0.3165236051502146
